Client,Address,Expiration Date,Status,Premium,VIN,State,Manufacturer,Car Model,Autonomous Software,Sensors,Computing Units,Connectivity,Power System,Braking System,Steering System,Price,Policy Channel,Year,Mileage,Accident History,Ownership,Average Annual Mileage,Annual Mileage,Repair Records,Maintenance Records,Usage,Claim Records
John Jones,"78343 Marshall Fork Apt. 071
New Patrickchester, GU 07288",2024-10-16,Expired,129.02,3PE51ENPWZEMFK7V2,GU,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2023,13216,0,Personal Ownership,6608,"[6079, 7137]",0,1,Personal,"[{'date': datetime.date(2023, 10, 21), 'amount': 4193.21}]"
Crystal Scott,"354 Bobby Grove
Port Jennifer, MO 39305",2024-10-16,Expired,138.37,0LA9XJK5NMK82L8TY,MO,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,Online,2016,116294,3,Company Ownership,12921,"[13794, 11764, 12834, 13868, 12444, 13924, 13418, 11335, 12913]",0,8,Commercial,"[{'date': datetime.date(2021, 11, 1), 'amount': 2545.03}]"
Ashley Roy,"404 Robert Mountains Suite 916
North Alexander, IA 41683",2024-10-02,Expired,102.09,0YARA9KMDY08LFS6S,IA,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Online,2020,49981,0,Company Ownership,9996,"[10693, 9631, 10364, 8865, 10428]",0,8,Commercial,"[{'date': datetime.date(2021, 1, 30), 'amount': 4137.57}, {'date': datetime.date(2023, 8, 4), 'amount': 3921.61}, {'date': datetime.date(2024, 4, 25), 'amount': 4747.11}]"
Christopher Stanton,"0340 Jared Cliffs
West Jameschester, OH 92050",2024-09-11,Expired,131.78,6V8DDC560BVET7JTT,OH,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,4S Stores,2015,125436,0,Company Ownership,12543,"[13516, 11694, 12898, 12435, 12346, 11440, 11795, 13702, 13995, 11615]",4,18,Rental,"[{'date': datetime.date(2020, 9, 5), 'amount': 3610.19}]"
Jean Harmon,"8309 Travis Prairie
Kellyland, VA 96913",2024-09-16,Expired,122.33,1CBDL4SYHV8L4BH4W,VA,Mercedes-Benz,Mercedes-Benz E-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,54000,4S Stores,2020,50155,1,Personal Ownership,10031,"[10141, 10804, 9449, 9552, 10209]",0,4,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 680.36}, {'date': datetime.date(2024, 10, 12), 'amount': 2191.35}]"
Samantha Bell,"2157 Gilbert Branch Apt. 769
Whitebury, OK 50135",2024-10-08,Expired,140.49,EHCJZC4XXJSH5A6HA,OK,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,Online,2019,62262,0,Personal Ownership,10377,"[10136, 10974, 10265, 9343, 10720, 10824]",0,10,Commercial,"[{'date': datetime.date(2018, 2, 15), 'amount': 847.58}, {'date': datetime.date(2024, 10, 28), 'amount': 4664.78}]"
Elizabeth Glenn,"628 Rose Field
Tylerton, IL 77918",2024-10-05,Expired,149.32999999999998,UETWWJLN23RS0XEHZ,IL,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,Online,2015,130038,0,Company Ownership,13003,"[13916, 11717, 14328, 13373, 12698, 11635, 12761, 13538, 12435, 13637]",0,9,Personal,"[{'date': datetime.date(2024, 7, 27), 'amount': 1584.71}, {'date': datetime.date(2021, 3, 2), 'amount': 1417.49}]"
William Wilson,"5215 Jessica Courts Suite 325
Boydville, VI 40735",2024-10-14,Expired,111.87,C2P1WTM7ZRL7X9LFH,VI,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,In-Vehicle Infotainment System,2017,84289,2,Company Ownership,10536,"[9875, 10162, 10422, 11521, 10785, 10837, 9689, 10998]",3,7,Personal,"[{'date': datetime.date(2024, 10, 28), 'amount': 2843.18}]"
Kristen Collins,"02763 Matthew Underpass Apt. 340
Kristinachester, NM 59160",2024-10-25,Expired,148.13,N47RPC59F2J2RHKV5,NM,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,Online,2019,72488,0,Company Ownership,12081,"[12132, 13208, 12148, 12049, 12306, 10645]",2,10,Personal,"[{'date': datetime.date(2023, 10, 30), 'amount': 2300.93}]"
Cynthia Kaiser,"147 Watson Passage Apt. 203
Heatherland, MI 89510",2024-10-22,Expired,105.28,8DHDT2XZEPDPNLA80,MI,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,4S Stores,2018,88492,0,Company Ownership,12641,"[11932, 12564, 11660, 11954, 13384, 14768, 12230]",0,6,Rental,"[{'date': datetime.date(2020, 10, 18), 'amount': 4939.67}, {'date': datetime.date(2023, 10, 25), 'amount': 674.15}, {'date': datetime.date(2018, 5, 9), 'amount': 1836.0}, {'date': datetime.date(2022, 6, 11), 'amount': 596.06}]"
Amy Morgan,"555 Frank Course
Lake Heather, AS 71001",2024-10-05,Expired,104.1,MF4VVR82MN6DL5CV1,AS,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,4S Stores,2024,0,0,Personal Ownership,0,[0],0,0,Personal,"[{'date': datetime.date(2021, 3, 21), 'amount': 3293.49}, {'date': datetime.date(2019, 9, 6), 'amount': 3009.23}]"
Nathan Horn,"56763 Brown Crossroad
South Emily, NM 61450",2024-10-15,Expired,121.3,9J0ZZBUH6E88KUBL3,NM,Li Auto,Li Auto L8,Li AD Max,Camera + LiDAR,NVIDIA Orin,5G Modem,Inverter,ABS Module,Electric Power Steering,53000,4S Stores,2022,29937,0,Personal Ownership,9979,"[10740, 9485, 9712]",0,4,Rental,"[{'date': datetime.date(2019, 1, 8), 'amount': 2139.96}]"
Lee Johnson,"2164 Roy Forest
New Daniel, MS 35554",2024-09-19,Expired,95.72,SNH1XA1YS1JHWJS8M,MS,BYD,BYD Dolphin,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,20000,In-Vehicle Infotainment System,2021,42456,0,Company Ownership,10614,"[10759, 10817, 11191, 9689]",0,6,Rental,"[{'date': datetime.date(2023, 4, 30), 'amount': 2706.0}, {'date': datetime.date(2021, 12, 20), 'amount': 3360.65}]"
Nicholas Mendoza,"804 Jeremiah Isle
Port Robertberg, LA 13093",2024-10-20,Expired,130.5,7W7EU3UPFREFGHY9L,LA,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,Online,2016,100056,1,Company Ownership,11117,"[11617, 10303, 11051, 10321, 12079, 10863, 11917, 10493, 11412]",3,16,Rental,"[{'date': datetime.date(2017, 8, 26), 'amount': 3332.57}]"
William Lynch,"137 Kennedy Locks Suite 402
Devinberg, NJ 55396",2024-10-02,Expired,119.97999999999999,ENA3DR37T3M787PG6,NJ,Li Auto,Li Auto L7,Li AD Max,Camera + LiDAR,NVIDIA Orin,5G Modem,Inverter,ABS Module,Electric Power Steering,50000,Online,2016,109917,0,Company Ownership,12213,"[11242, 12013, 12079, 11831, 12412, 13245, 13368, 11131, 12596]",5,8,Rental,"[{'date': datetime.date(2019, 11, 11), 'amount': 3964.32}, {'date': datetime.date(2023, 7, 8), 'amount': 2473.36}]"
Ruben Dickerson,"151 Allison Path Suite 631
Aaronland, PW 17260",2024-09-12,Expired,123.97,UBMWC840W3YE6N1G2,PW,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,4S Stores,2019,67766,0,Company Ownership,11294,"[10938, 11682, 10272, 11180, 11975, 11719]",1,5,Rental,"[{'date': datetime.date(2023, 11, 7), 'amount': 4747.38}, {'date': datetime.date(2017, 12, 4), 'amount': 578.34}]"
Mrs. Angela Sanders DVM,"93816 Silva Hill Suite 927
Port Nicholas, NE 99750",2024-09-11,Expired,159.55,390KFYLAA657UJJTP,NE,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,4S Stores,2015,128718,0,Company Ownership,12871,"[12702, 11826, 13516, 13697, 12295, 12714, 13217, 12383, 12144, 14224]",3,18,Personal,"[{'date': datetime.date(2023, 8, 8), 'amount': 1383.1}, {'date': datetime.date(2023, 8, 5), 'amount': 2685.59}]"
Raymond Medina,"00661 Valerie Prairie
Hunterport, WY 53207",2024-10-18,Expired,122.38,HCSDU2JTDK1VKNYBV,WY,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,4S Stores,2019,72322,0,Company Ownership,12053,"[12838, 11658, 12314, 12523, 11247, 11742]",2,5,Rental,"[{'date': datetime.date(2022, 11, 9), 'amount': 893.86}]"
